trucks_count 10
drones_count 10
customers 1000
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-1513.275897	3662.994393	1	0.43	60	60	2700
-5067.271079	1229.771411	1	1.17	60	60	2700
-571.631477	3030.217424	1	1.60	60	60	2700
-1249.559394	-1314.602020	1	0.99	60	60	1800
-4084.615629	3155.756496	1	1.29	60	60	3600
4275.654355	1048.178976	1	1.34	60	60	1800
6022.537391	-4136.106567	1	0.75	60	60	3600
-2844.369373	1492.046884	1	1.44	60	60	3600
765.120483	706.432488	1	1.53	60	60	3600
-269.333457	-3655.788962	1	0.54	60	60	3600
-6119.603752	1133.454365	1	0.59	60	60	2700
-1024.756648	3396.971651	1	1.22	60	60	1800
-363.835332	-2654.634320	1	0.31	60	60	1800
-2010.423035	-215.062108	1	1.51	60	60	3600
-4691.371237	768.034478	1	1.10	60	60	1800
429.255713	-3112.968688	1	0.48	60	60	3600
-879.276505	1795.186493	1	1.43	60	60	2700
-6205.591945	3878.823746	1	1.23	60	60	1800
2654.618081	561.278631	1	1.49	60	60	1800
3221.888892	960.535135	1	0.83	60	60	2700
-2460.277707	-3226.343036	1	0.76	60	60	2700
971.494221	-4105.149899	1	0.41	60	60	2700
-2280.763599	-1436.138075	1	0.78	60	60	1800
-5560.327497	-303.684464	1	0.23	60	60	2700
2022.778257	-1629.617247	1	0.51	60	60	2700
-1095.295622	2888.488370	1	0.52	60	60	2700
-512.907834	2428.641751	1	1.44	60	60	3600
4937.105182	2.045987	1	1.54	60	60	2700
45.703939	2658.626218	1	0.48	60	60	3600
-4182.367238	4201.011046	1	0.39	60	60	1800
-3559.279895	2945.264500	1	0.72	60	60	3600
-4702.615527	1972.342250	1	1.46	60	60	3600
-841.587887	3863.401009	1	0.76	60	60	1800
-3706.286272	2378.181494	1	0.89	60	60	3600
2112.877935	645.386474	1	1.64	60	60	1800
-3053.878637	769.213144	1	1.97	60	60	3600
-2577.247397	3465.612279	1	0.21	60	60	2700
456.831738	-220.566256	1	1.32	60	60	1800
-636.792295	861.104631	1	1.53	60	60	2700
4785.270924	975.857796	1	1.92	60	60	2700
-1363.289731	-2115.716989	1	1.69	60	60	2700
-4064.982246	346.839215	1	1.17	60	60	3600
274.991941	3654.009843	1	0.94	60	60	2700
437.136060	317.194648	1	1.15	60	60	3600
3114.138897	-817.683013	1	1.74	60	60	2700
-2011.409377	2807.972124	1	1.74	60	60	1800
2726.704053	-3828.152218	1	0.26	60	60	3600
6017.408416	-1661.563550	1	1.73	60	60	3600
3833.493146	611.505380	1	0.65	60	60	3600
-3334.373325	1208.588777	1	0.40	60	60	1800
-2395.833284	117.143855	1	1.03	60	60	2700
4294.145658	216.329730	1	1.56	60	60	1800
320.425934	-2317.368988	1	0.83	60	60	3600
-612.133764	-1883.908925	1	0.48	60	60	1800
-3641.468078	661.498619	1	1.86	60	60	2700
-3206.501968	2577.287129	1	1.32	60	60	2700
-5080.197341	232.186126	1	0.35	60	60	1800
-3028.005349	234.543459	1	1.60	60	60	3600
-3431.522747	-201.929987	1	1.12	60	60	1800
-1323.784168	1082.438133	1	1.14	60	60	2700
4342.943594	11679.292403	1	0.66	60	60	3600
-4778.979105	11412.191070	1	1.84	60	60	3600
-346.382283	15010.470016	1	1.08	60	60	1800
1864.392617	8398.664004	1	1.87	60	60	1800
3807.920951	10235.715387	1	1.54	60	60	3600
-220.836615	13177.332694	1	1.43	60	60	3600
-938.996872	11396.256837	1	0.46	60	60	1800
1441.885555	15001.485465	1	1.25	60	60	2700
142.136966	14744.447273	1	0.28	60	60	3600
-50.926356	11937.720532	1	0.44	60	60	1800
-1272.795517	15492.033004	1	0.73	60	60	2700
1932.014097	12053.908111	1	0.85	60	60	3600
-4113.032639	13545.209989	1	1.07	60	60	3600
-257.185886	10627.154888	1	0.30	60	60	2700
876.224038	13243.704946	1	1.28	60	60	2700
-2039.608354	13924.762752	1	0.34	60	60	3600
1426.145625	9602.237890	1	1.07	60	60	1800
-3913.303727	11579.661749	1	0.50	60	60	3600
5442.547969	12395.654599	1	1.17	60	60	2700
-5038.698331	15226.299368	1	1.98	60	60	1800
-1122.871647	8432.800847	1	0.51	60	60	2700
249.035592	10715.276867	1	1.17	60	60	2700
595.262137	14377.693047	1	1.56	60	60	1800
-1140.241635	9360.422283	1	0.66	60	60	1800
-3900.377465	12577.247033	1	0.68	60	60	3600
4388.782506	12308.010757	1	1.73	60	60	1800
-2474.574464	12008.974241	1	0.59	60	60	2700
-1387.927497	14180.121901	1	0.72	60	60	2700
1623.725352	11126.909366	1	1.57	60	60	2700
-2595.686787	15173.381703	1	1.78	60	60	3600
-2392.386281	14292.740123	1	0.46	60	60	1800
-4522.727648	11965.030006	1	1.53	60	60	2700
2156.484601	7777.929446	1	0.41	60	60	2700
653.985780	13776.117374	1	0.63	60	60	3600
2138.387835	7242.325723	1	1.88	60	60	1800
3893.597667	7519.323405	1	0.73	60	60	3600
-1396.763039	11712.939988	1	1.34	60	60	2700
-1677.475759	12839.522507	1	0.34	60	60	2700
-4393.433883	11043.791158	1	0.57	60	60	3600
-302.630261	8360.879968	1	1.80	60	60	3600
778.763140	11021.507695	1	0.44	60	60	1800
3594.757033	10984.724413	1	0.71	60	60	1800
-1762.851381	13508.070884	1	1.72	60	60	1800
287.617109	13142.662116	1	1.05	60	60	2700
-886.783081	14892.914739	1	0.62	60	60	1800
638.993393	12768.368873	1	0.89	60	60	2700
3189.671872	9717.858375	1	1.19	60	60	2700
-2668.053087	12695.903139	1	1.19	60	60	1800
-719.219276	10328.196208	1	1.45	60	60	1800
-4523.392130	12792.398097	1	0.97	60	60	2700
-1861.111735	11582.019081	1	1.86	60	60	2700
3903.523375	8084.649532	1	0.53	60	60	1800
4808.943114	10425.714159	1	1.54	60	60	2700
-1736.334375	15288.012552	1	0.30	60	60	1800
835.223390	15512.648543	1	1.62	60	60	1800
-1113.869985	9911.337547	1	1.61	60	60	2700
-2167.479710	12556.064400	1	0.97	60	60	2700
1604.029674	11664.670270	1	1.61	60	60	3600
2908.502319	7312.667634	1	1.10	60	60	1800
-3022.409160	13905.070130	1	1.89	60	60	1800
4281.032511	10529.792610	1	0.43	60	60	1800
1245.447908	14517.520667	1	0.69	60	60	3600
6721.458802	7569.316644	1	0.70	60	60	1800
5000.386760	11958.981002	1	1.36	60	60	1800
2506.189296	12304.419161	1	0.92	60	60	1800
1060.202638	12002.391502	1	1.72	60	60	3600
-2264.629133	11145.545636	1	0.32	60	60	3600
-196.396117	9231.758634	1	0.22	60	60	1800
1169.426954	10333.300055	1	1.53	60	60	1800
-1886.985023	12116.688767	1	0.63	60	60	1800
-4222.391928	14936.847855	1	1.66	60	60	1800
3355.346054	10515.192716	1	0.26	60	60	1800
277.494133	11501.691866	1	1.33	60	60	2700
-2917.722015	14503.232119	1	1.57	60	60	1800
71.597992	14235.963993	1	0.75	60	60	1800
3821.511695	11908.754254	1	0.86	60	60	3600
1487.319548	9030.106634	1	1.43	60	60	2700
-1279.751818	10839.426003	1	0.57	60	60	1800
504.695245	10186.456035	1	0.51	60	60	1800
-156.890554	12429.913755	1	1.93	60	60	2700
-3197.988286	15008.457387	1	1.45	60	60	1800
1281.329964	7342.679145	1	0.98	60	60	1800
3079.710396	12565.660522	1	1.83	60	60	3600
6103.998796	11349.521609	1	0.29	60	60	1800
5018.514674	11083.721257	1	1.33	60	60	1800
1860.519930	12552.394967	1	0.40	60	60	1800
-1231.057708	13532.989667	1	1.29	60	60	3600
325.305728	15210.876632	1	1.79	60	60	2700
-844.515763	14155.447747	1	0.57	60	60	1800
-4065.843997	14366.562434	1	1.90	60	60	2700
7184.302030	9685.912073	1	0.56	60	60	2700
803.058282	8692.841302	1	0.39	60	60	2700
-768.037977	15488.897307	1	0.24	60	60	1800
5461.039272	11563.805352	1	1.33	60	60	2700
530.101319	12208.580254	1	1.87	60	60	3600
5952.164538	12323.333418	1	0.65	60	60	3600
-4503.187708	15429.374663	1	1.94	60	60	1800
897.560157	7691.686661	1	1.75	60	60	3600
-1938.658922	14636.654911	1	1.08	60	60	2700
-82.665779	10032.873602	1	0.29	60	60	2700
-3578.248795	15375.611916	1	1.51	60	60	1800
-731.190344	12206.078368	1	0.79	60	60	3600
7189.431005	7211.369056	1	0.24	60	60	3600
554.759850	9463.566697	1	1.94	60	60	1800
10082.411428	14636.654911	1	1.64	60	60	2700
9981.461996	13924.762752	1	1.29	60	60	1800
12551.171669	12208.580254	1	1.30	60	60	3600
11409.165002	9836.091941	1	1.25	60	60	1800
12270.105943	10715.276867	1	0.75	60	60	3600
12298.564483	11501.691866	1	1.31	60	60	2700
7908.037711	13545.209989	1	0.86	60	60	1800
15842.582045	11908.754254	1	0.94	60	60	1800
13203.070559	12593.492612	1	1.20	60	60	1800
13462.955905	15001.485465	1	0.42	60	60	3600
13508.389898	9030.106634	1	1.58	60	60	2700
10741.318532	10839.426003	1	0.35	60	60	1800
10610.716567	14813.087901	1	1.46	60	60	2700
9853.590640	12556.064400	1	0.26	60	60	1800
15100.780746	12565.660522	1	0.76	60	60	3600
16830.013464	10425.714159	1	0.32	60	60	2700
11864.179796	12429.913755	1	0.76	60	60	2700
9628.684069	14292.740123	1	0.62	60	60	3600
12346.376078	15210.876632	1	1.43	60	60	3600
8478.091042	13911.497197	1	0.63	60	60	3600
9756.441218	11145.545636	1	0.46	60	60	1800
15376.416404	10515.192716	1	1.73	60	60	3600
18125.069146	11349.521609	1	1.17	60	60	1800
9103.348336	14503.232119	1	0.48	60	60	3600
10134.085327	12116.688767	1	0.68	60	60	2700
11289.880006	12206.078368	1	0.84	60	60	3600
13881.590280	12552.394967	1	1.11	60	60	2700
17973.234888	12323.333418	1	0.70	60	60	2700
17482.109622	11563.805352	1	1.36	60	60	3600
10343.594591	12839.522507	1	0.55	60	60	2700
12164.982730	8672.503750	1	1.59	60	60	3600
16364.013944	11679.292403	1	0.43	60	60	3600
8998.661190	13905.070130	1	1.67	60	60	1800
16409.852856	12308.010757	1	1.41	60	60	2700
13953.084447	12053.908111	1	1.36	60	60	3600
14929.572670	7312.667634	1	1.31	60	60	3600
15924.593725	8084.649532	1	0.69	60	60	1800
14159.458185	7242.325723	1	0.88	60	60	2700
10748.274833	15492.033004	1	1.07	60	60	3600
7517.882642	15429.374663	1	0.41	60	60	1800
13617.219677	8234.506934	1	1.75	60	60	1800
13920.701307	8641.447007	1	0.74	60	60	3600
12660.063744	12768.368873	1	0.88	60	60	2700
8485.348437	13319.817873	1	0.59	60	60	2700
10284.735975	15288.012552	1	1.40	60	60	1800
11134.287269	14892.914739	1	1.31	60	60	2700
14177.554951	7777.929446	1	2.00	60	60	1800
10790.012642	13532.989667	1	1.94	60	60	3600
9425.383563	15173.381703	1	0.74	60	60	3600
11177.540929	11132.413515	1	0.49	60	60	1800
7497.678220	12792.398097	1	0.88	60	60	3600
6982.372020	15226.299368	1	1.73	60	60	2700
19210.501355	7211.369056	1	1.86	60	60	3600
16302.102861	10529.792610	1	0.38	60	60	2700
7498.342702	11965.030006	1	1.82	60	60	3600
9084.088725	13225.746965	1	1.83	60	60	1800
13644.795702	11126.909366	1	1.62	60	60	3600
11970.143994	11937.720532	1	1.06	60	60	2700
9005.596726	15548.486668	1	1.43	60	60	1800
12525.765595	10186.456035	1	0.55	60	60	1800
15300.841899	11992.862096	1	1.43	60	60	2700
10633.142853	14180.121901	1	0.43	60	60	2700
12163.207316	14744.447273	1	1.42	60	60	1800
12856.293740	15512.648543	1	0.89	60	60	3600
8642.052106	12649.156792	1	1.25	60	60	3600
11301.851074	10328.196208	1	0.42	60	60	2700
13081.272988	12002.391502	1	1.61	60	60	1800
7068.360212	12480.929988	1	0.35	60	60	1800
9122.981718	11694.314838	1	1.18	60	60	2700
12799.833490	11021.507695	1	1.54	60	60	3600
13266.518258	14517.520667	1	1.80	60	60	1800
10975.621301	16258.822099	1	1.33	60	60	1800
18742.529152	7569.316644	1	0.76	60	60	1800
11938.404571	10032.873602	1	1.24	60	60	1800
8823.082064	15008.457387	1	1.03	60	60	2700
11296.545596	13492.181129	1	1.41	60	60	2700
17021.457110	11958.981002	1	1.24	60	60	3600
7955.226353	14366.562434	1	1.23	60	60	1800
8107.766623	11579.661749	1	1.82	60	60	1800
7627.636467	11043.791158	1	1.87	60	60	1800
9546.495886	12008.974241	1	0.85	60	60	1800
10880.828715	9360.422283	1	0.90	60	60	3600
11718.440089	8360.879968	1	1.62	60	60	1800
10727.686257	8121.132587	1	1.47	60	60	2700
10689.592720	12049.882855	1	1.04	60	60	1800
12675.056131	13776.117374	1	0.79	60	60	2700
15210.742222	9717.858375	1	1.33	60	60	1800
13134.898805	9422.835996	1	1.73	60	60	2700
15914.668017	7519.323405	1	1.37	60	60	1800
15615.827383	10984.724413	1	0.81	60	60	2700
17039.585024	11083.721257	1	0.67	60	60	3600
12092.668343	14235.963993	1	1.18	60	60	1800
12616.332487	14377.693047	1	1.81	60	60	1800
10159.958615	11582.019081	1	0.68	60	60	1800
9481.677692	13725.657116	1	0.20	60	60	1800
13190.497304	10333.300055	1	1.09	60	60	3600
7242.091245	11412.191070	1	1.23	60	60	1800
11800.233735	13177.332694	1	1.71	60	60	2700
13625.100025	11664.670270	1	1.01	60	60	1800
11176.554587	14155.447747	1	0.98	60	60	2700
8120.692885	12577.247033	1	0.64	60	60	3600
12897.294388	13243.704946	1	0.68	60	60	1800
12575.830201	9463.566697	1	0.87	60	60	3600
8496.592727	12115.510100	1	0.95	60	60	3600
10907.200365	9911.337547	1	0.34	60	60	1800
10792.130680	11464.619478	1	1.14	60	60	1800
12824.128633	8692.841302	1	0.78	60	60	1800
11674.688067	2989.397766	1	1.93	60	60	3600
10727.686257	-3899.939662	1	1.16	60	60	1800
13190.497304	-1687.772194	1	1.65	60	60	3600
11134.287269	2871.842490	1	0.33	60	60	3600
12525.765595	-1834.616214	1	1.30	60	60	1800
13266.518258	2496.448418	1	0.39	60	60	3600
17482.109622	-457.266897	1	0.98	60	60	1800
6982.372020	3205.227119	1	0.54	60	60	3600
17021.457110	-62.091247	1	1.59	60	60	1800
12918.630507	-4329.385588	1	0.74	60	60	3600
12824.128633	-3328.230947	1	1.49	60	60	2700
15615.827383	-1036.347836	1	1.65	60	60	1800
15300.841899	-28.210153	1	1.46	60	60	3600
10610.716567	2792.015652	1	1.33	60	60	1800
11253.032373	3467.825058	1	1.71	60	60	2700
7242.091245	-608.881179	1	1.73	60	60	2700
13508.389898	-2990.965615	1	1.05	60	60	1800
9005.596726	3527.414419	1	1.38	60	60	1800
12092.668343	2214.891744	1	1.72	60	60	3600
11864.179796	408.841506	1	0.80	60	60	2700
7498.342702	-56.042243	1	1.16	60	60	3600
14159.458185	-4778.746526	1	1.31	60	60	1800
15210.742222	-2303.213874	1	0.51	60	60	2700
11718.440089	-3660.192281	1	1.46	60	60	3600
8823.082064	2987.385138	1	0.36	60	60	1800
10748.274833	3470.960755	1	0.85	60	60	1800
13203.070559	572.420363	1	1.22	60	60	3600
13644.795702	-894.162883	1	1.67	60	60	2700
8107.766623	-441.410500	1	1.28	60	60	3600
7955.226353	2345.490185	1	0.83	60	60	1800
13881.590280	531.322718	1	0.85	60	60	2700
10284.735975	3266.940303	1	1.84	60	60	2700
14177.554951	-4243.142803	1	0.34	60	60	3600
15100.780746	544.588273	1	1.31	60	60	1800
10059.486780	1231.394857	1	1.91	60	60	3600
10975.621301	4237.749849	1	0.63	60	60	3600
8478.091042	1890.424948	1	0.88	60	60	1800
11296.545596	1471.108880	1	0.77	60	60	2700
12270.105943	-1305.795382	1	1.27	60	60	1800
15376.416404	-1505.879533	1	1.42	60	60	1800
10159.958615	-439.053168	1	1.64	60	60	2700
11824.674233	-2789.313615	1	1.48	60	60	2700
13134.898805	-2598.236253	1	1.61	60	60	3600
16302.102861	-1491.279639	1	1.16	60	60	1800
16830.013464	-1595.358091	1	0.64	60	60	1800
8485.348437	1298.745624	1	0.73	60	60	2700
9546.495886	-12.098008	1	1.54	60	60	2700
17973.234888	302.261169	1	0.99	60	60	2700
10633.142853	2159.049652	1	1.87	60	60	1800
9122.981718	-326.757411	1	1.87	60	60	1800
12660.063744	747.296624	1	1.24	60	60	1800
11463.725247	-407.162463	1	1.07	60	60	2700
9481.677692	1704.584867	1	0.56	60	60	2700
11763.884464	-1393.917361	1	0.23	60	60	2700
12346.376078	3189.804383	1	0.62	60	60	1800
12897.294388	1222.632696	1	1.21	60	60	2700
12675.056131	1755.045125	1	0.35	60	60	3600
9103.348336	2482.159870	1	1.23	60	60	3600
7497.678220	771.325848	1	0.50	60	60	1800
13920.701307	-3379.625242	1	1.72	60	60	2700
13462.955905	2980.413216	1	0.65	60	60	2700
9084.088725	1204.674716	1	0.73	60	60	3600
18125.069146	-671.550640	1	1.03	60	60	2700
16364.013944	-341.779846	1	1.91	60	60	2700
17463.618320	374.582349	1	0.54	60	60	2700
10792.130680	-556.452771	1	0.61	60	60	3600
8442.821555	3354.539667	1	1.04	60	60	1800
16409.852856	286.938508	1	0.82	60	60	1800
9756.441218	-875.526613	1	1.84	60	60	3600
13081.272988	-18.680748	1	0.92	60	60	1800
7517.882642	3408.302414	1	0.62	60	60	3600
11176.554587	2134.375497	1	0.85	60	60	3600
10082.411428	2615.582662	1	0.49	60	60	1800
8642.052106	628.084543	1	1.08	60	60	2700
13625.100025	-356.401979	1	1.88	60	60	2700
12799.833490	-999.564554	1	1.30	60	60	1800
12575.830201	-2557.505552	1	0.22	60	60	3600
8120.692885	556.174784	1	0.28	60	60	1800
10134.085327	95.616517	1	0.84	60	60	1800
9981.461996	1903.690503	1	1.57	60	60	3600
7798.678422	2915.775605	1	1.04	60	60	1800
11800.233735	1156.260445	1	1.55	60	60	3600
10741.318532	-1181.646246	1	1.44	60	60	2700
13617.219677	-3786.565315	1	0.74	60	60	2700
10907.200365	-2109.734702	1	0.77	60	60	2700
10880.828715	-2660.649966	1	1.73	60	60	1800
12551.171669	187.508005	1	1.16	60	60	3600
12298.564483	-519.380383	1	1.57	60	60	1800
9628.684069	2271.667873	1	1.63	60	60	3600
9353.017263	674.830890	1	1.15	60	60	3600
12616.332487	2356.620797	1	1.45	60	60	2700
11177.540929	-888.658734	1	1.03	60	60	3600
13233.667903	1985.029591	1	1.83	60	60	2700
8496.592727	94.437851	1	1.25	60	60	3600
8331.676470	2847.057141	1	1.27	60	60	1800
10790.012642	1511.917418	1	1.40	60	60	2700
11970.143994	-83.351717	1	1.98	60	60	2700
11301.851074	-1692.876041	1	1.56	60	60	2700
15842.582045	-112.317995	1	1.77	60	60	2700
12163.207316	2723.375024	1	1.02	60	60	3600
13953.084447	32.835862	1	1.49	60	60	3600
15924.593725	-3936.422718	1	1.56	60	60	3600
10689.592720	28.810605	1	1.97	60	60	2700
10343.594591	818.450258	1	1.09	60	60	3600
8998.661190	1883.997881	1	0.83	60	60	1800
9425.383563	3152.309453	1	0.80	60	60	1800
7627.636467	-977.281091	1	0.34	60	60	3600
11409.165002	-2184.980309	1	0.66	60	60	2700
8442.821555	-8666.532583	1	0.25	60	60	2700
7908.037711	-10496.934509	1	1.23	60	60	1800
8485.348437	-10722.326625	1	0.48	60	60	3600
9103.348336	-9538.912380	1	0.45	60	60	3600
12308.687459	-10899.482383	1	0.63	60	60	3600
7497.678220	-11249.746402	1	1.72	60	60	1800
7068.360212	-11561.214511	1	1.17	60	60	3600
8977.470427	-11132.391276	1	1.76	60	60	2700
8331.676470	-9174.015108	1	0.31	60	60	3600
10610.716567	-9229.056597	1	1.04	60	60	2700
7955.226353	-9675.582064	1	1.30	60	60	1800
6982.372020	-8815.845130	1	0.24	60	60	2700
12675.056131	-10266.027124	1	0.85	60	60	2700
7798.678422	-9105.296644	1	1.59	60	60	1800
11800.233735	-10864.811804	1	1.88	60	60	2700
11296.545596	-10549.963370	1	0.26	60	60	3600
8496.592727	-11926.634398	1	1.95	60	60	3600
7242.091245	-12629.953429	1	0.58	60	60	3600
11289.880006	-11836.066130	1	1.93	60	60	3600
7498.342702	-12077.114492	1	1.29	60	60	3600
13462.955905	-9040.659033	1	1.72	60	60	2700
10975.621301	-7783.322400	1	0.53	60	60	1800
9481.677692	-10316.487382	1	1.20	60	60	2700
9005.596726	-8493.657830	1	0.66	60	60	3600
12346.376078	-8831.267867	1	1.24	60	60	1800
8998.661190	-10137.074368	1	0.90	60	60	2700
9981.461996	-10117.381747	1	0.98	60	60	2700
9353.017263	-11346.241359	1	1.55	60	60	1800
11674.688067	-9031.674483	1	1.54	60	60	1800
12616.332487	-9664.451452	1	1.24	60	60	3600
9122.981718	-12347.829661	1	1.67	60	60	2700
8478.091042	-10130.647301	1	1.29	60	60	3600
12163.207316	-9297.697225	1	1.11	60	60	2700
10748.274833	-8550.111494	1	1.70	60	60	3600
10284.735975	-8754.131946	1	0.71	60	60	1800
11253.032373	-8553.247191	1	1.31	60	60	3600
7627.636467	-12998.353340	1	1.21	60	60	3600
12897.294388	-10798.439553	1	1.84	60	60	1800
9425.383563	-8868.762796	1	0.82	60	60	3600
12092.668343	-9806.180505	1	0.53	60	60	1800
8823.082064	-9033.687111	1	0.80	60	60	2700
9853.590640	-11486.080099	1	1.66	60	60	1800
12856.293740	-8529.495955	1	1.27	60	60	3600
8120.692885	-11464.897465	1	1.72	60	60	1800
11176.554587	-9886.696752	1	1.64	60	60	2700
7517.882642	-8612.769836	1	1.72	60	60	1800
11134.287269	-9149.229759	1	0.54	60	60	3600
-196.396117	-14810.385865	1	0.35	60	60	2700
3279.771549	-12049.282402	1	1.24	60	60	1800
-1677.475759	-11202.621992	1	1.21	60	60	2700
6103.998796	-12692.622889	1	1.77	60	60	3600
-346.382283	-9031.674483	1	0.40	60	60	1800
-2668.053087	-11346.241359	1	0.41	60	60	3600
3903.523375	-15957.494967	1	0.93	60	60	1800
-1113.869985	-14130.806951	1	1.95	60	60	3600
4388.782506	-11734.133741	1	1.58	60	60	1800
4281.032511	-13512.351888	1	0.71	60	60	1800
-3689.393880	-9174.015108	1	1.90	60	60	1800
2908.502319	-16729.476865	1	0.48	60	60	1800
3079.710396	-11476.483976	1	1.53	60	60	2700
1441.885555	-9040.659033	1	0.21	60	60	1800
-2264.629133	-12896.598863	1	1.86	60	60	2700
-3913.303727	-12462.482749	1	1.67	60	60	1800
-3197.988286	-9033.687111	1	1.94	60	60	1800
-3379.018244	-11392.987706	1	1.20	60	60	2700
554.759850	-14578.577801	1	1.18	60	60	1800
5461.039272	-12478.339146	1	0.38	60	60	1800
504.695245	-13855.688463	1	1.65	60	60	1800
-5038.698331	-8815.845130	1	1.57	60	60	1800
-4522.727648	-12077.114492	1	0.76	60	60	2700
-3542.979308	-10130.647301	1	0.51	60	60	1800
835.223390	-8529.495955	1	0.63	60	60	1800
-886.783081	-9149.229759	1	1.64	60	60	3600
3821.511695	-12133.390245	1	1.34	60	60	3600
-50.926356	-12104.423966	1	1.12	60	60	3600
-1272.795517	-8550.111494	1	1.46	60	60	1800
1487.319548	-15012.037864	1	0.74	60	60	1800
-3015.473624	-8493.657830	1	0.55	60	60	3600
1212.597553	-10036.042658	1	0.99	60	60	2700
-220.836615	-10864.811804	1	0.33	60	60	3600
-719.219276	-13713.948290	1	0.89	60	60	1800
-82.665779	-14009.270896	1	1.05	60	60	1800
1060.202638	-12039.752997	1	1.80	60	60	2700
1169.426954	-13708.844443	1	1.82	60	60	1800
3355.346054	-13526.951782	1	0.88	60	60	3600
-4424.519207	-10442.537951	1	0.25	60	60	2700
-2898.088632	-12347.829661	1	1.12	60	60	2700
1182.000209	-11448.651886	1	1.06	60	60	3600
-302.630261	-15681.264530	1	1.05	60	60	2700
1245.447908	-9524.623832	1	0.82	60	60	2700
-2039.608354	-10117.381747	1	0.34	60	60	3600
325.305728	-8831.267867	1	0.64	60	60	1800
-731.190344	-11836.066130	1	0.71	60	60	1800
595.262137	-9664.451452	1	1.77	60	60	3600
142.136966	-9297.697225	1	1.78	60	60	1800
1596.149327	-15807.637564	1	0.67	60	60	2700
5442.547969	-11646.489900	1	1.56	60	60	1800
-1938.658922	-9405.489587	1	1.84	60	60	1800
778.763140	-13020.636803	1	0.28	60	60	1800
638.993393	-11273.775625	1	1.12	60	60	3600
4342.943594	-12362.852095	1	0.85	60	60	1800
-2392.386281	-9749.404376	1	0.34	60	60	3600
897.560157	-16350.457838	1	1.14	60	60	2700
-4065.843997	-9675.582064	1	0.77	60	60	1800
1932.014097	-11988.236387	1	0.50	60	60	1800
1281.329964	-16699.465354	1	1.85	60	60	3600
